05-26-2021 18:15:00 [main] INFO  com.learningselenium.testbase.TestBase - Clicked BankManagerLogin_Button_XPATH field
05-26-2021 18:15:01 [main] INFO  com.learningselenium.testbase.TestBase - Clicked AddCustomer_MenuButton_XPATH field
05-26-2021 18:15:01 [main] INFO  com.learningselenium.testbase.TestBase - Entered Kartik in AddCustomer_FirstName_TextField_XPATH field
05-26-2021 18:15:01 [main] INFO  com.learningselenium.testbase.TestBase - Entered Nadar in AddCustomer_LastName_TextField_XPATH field
05-26-2021 18:15:01 [main] INFO  com.learningselenium.testbase.TestBase - Entered 400104 in AddCustomer_PostCode_TextField_XPATH field
05-26-2021 18:15:01 [main] INFO  com.learningselenium.testbase.TestBase - Clicked AddCustomer_Button_XPATH field
05-26-2021 18:15:02 [main] INFO  com.learningselenium.testbase.TestBase - Clicked OpenAccount_MenuButton_XPATH field
05-26-2021 18:15:02 [main] INFO  com.learningselenium.testbase.TestBase - Selected Kartik Nadar in OpenAccount_Customer_Select_XPATH Select field
05-26-2021 18:15:02 [main] INFO  com.learningselenium.testbase.TestBase - Selected Pound in OpenAccount_Currency_Select_XPATH Select field
05-26-2021 18:15:02 [main] INFO  com.learningselenium.testbase.TestBase - Clicked OpenAccount_Process_Button_XPATH field
05-26-2021 18:15:02 [main] INFO  com.learningselenium.testbase.TestBase - Clicked Customer_MenuButton_XPATH field
05-26-2021 18:15:02 [main] INFO  com.learningselenium.testbase.TestBase - Added record : Kartik is present in Customers Table
05-26-2021 18:15:02 [main] INFO  com.learningselenium.testbase.TestBase - Account field for the record : Kartik is present in Customers Table
05-26-2021 18:15:03 [main] INFO  com.learningselenium.testbase.TestBase - Entered Kartik in Customers_SearchCustomer_TextField_XPATH field
05-26-2021 18:15:03 [main] INFO  com.learningselenium.testbase.TestBase - Clicked Customer_SearchedCustomer_Delete_Button_XPATH field
05-26-2021 18:15:03 [main] INFO  com.learningselenium.testbase.TestBase - Entered Kartik in Customers_SearchCustomer_TextField_XPATH field
05-26-2021 18:15:13 [main] INFO  com.learningselenium.testbase.TestBase - Record Deleted Successfully!!!!!
05-26-2021 18:15:14 [main] INFO  com.learningselenium.testbase.TestBase - Closed all driver browser instances.
05-26-2021 18:15:14 [main] INFO  com.learningselenium.testbase.TestBase - Performing Post Test Activity
05-26-2021 18:15:14 [main] INFO  com.learningselenium.testbase.TestBase - Successfully closed MySQL Database Connection
