05-26-2021 23:20:38 [main] INFO  com.learningselenium.testbase.TestBase - Connected to MySQL Database
05-26-2021 23:20:39 [main] INFO  com.learningselenium.testbase.TestBase - Loaded TestConfig & Object Repository Properties File.
05-26-2021 23:20:40 [main] INFO  com.learningselenium.testbase.TestBase - WebDriver setup successfully completed.
05-26-2021 23:20:42 [main] INFO  com.learningselenium.testbase.TestBase - Navigated to http://www.way2automation.com/angularjs-protractor/banking/#/login url.
05-26-2021 23:20:43 [main] INFO  com.learningselenium.testbase.TestBase - Clicked BankManagerLogin_Button_XPATH field
05-26-2021 23:20:43 [main] INFO  com.learningselenium.testbase.TestBase - Clicked AddCustomer_MenuButton_XPATH field
05-26-2021 23:20:43 [main] INFO  com.learningselenium.testbase.TestBase - Entered Vinod in AddCustomer_FirstName_TextField_XPATH field
05-26-2021 23:20:43 [main] INFO  com.learningselenium.testbase.TestBase - Entered Mallah in AddCustomer_LastName_TextField_XPATH field
05-26-2021 23:20:43 [main] INFO  com.learningselenium.testbase.TestBase - Entered 400078 in AddCustomer_PostCode_TextField_XPATH field
05-26-2021 23:20:43 [main] INFO  com.learningselenium.testbase.TestBase - Clicked AddCustomer_Button_XPATH field
05-26-2021 23:20:43 [main] INFO  com.learningselenium.testbase.TestBase - Clicked Customer_MenuButton_XPATH field
05-26-2021 23:20:43 [main] INFO  com.learningselenium.testbase.TestBase - Added record : Vinod is present in Customers Table
05-26-2021 23:20:43 [main] INFO  com.learningselenium.testbase.TestBase - Account field for the record : Vinod is NOT present in Customers Table
05-26-2021 23:20:43 [main] INFO  com.learningselenium.testhelpers.CustomListeners - TestCase : test001_AddCustomerTest Passed.
05-26-2021 23:20:44 [main] INFO  com.learningselenium.testbase.TestBase - Closed all driver browser instances.
05-26-2021 23:20:45 [main] INFO  com.learningselenium.testbase.TestBase - WebDriver setup successfully completed.
05-26-2021 23:20:46 [main] INFO  com.learningselenium.testbase.TestBase - Navigated to http://www.way2automation.com/angularjs-protractor/banking/#/login url.
05-26-2021 23:20:46 [main] INFO  com.learningselenium.testbase.TestBase - Clicked BankManagerLogin_Button_XPATH field
05-26-2021 23:20:47 [main] INFO  com.learningselenium.testbase.TestBase - Clicked AddCustomer_MenuButton_XPATH field
05-26-2021 23:20:47 [main] INFO  com.learningselenium.testbase.TestBase - Entered Prahakta in AddCustomer_FirstName_TextField_XPATH field
05-26-2021 23:20:47 [main] INFO  com.learningselenium.testbase.TestBase - Entered Mallah in AddCustomer_LastName_TextField_XPATH field
05-26-2021 23:20:47 [main] INFO  com.learningselenium.testbase.TestBase - Entered 400104 in AddCustomer_PostCode_TextField_XPATH field
05-26-2021 23:20:47 [main] INFO  com.learningselenium.testbase.TestBase - Clicked AddCustomer_Button_XPATH field
05-26-2021 23:20:47 [main] INFO  com.learningselenium.testbase.TestBase - Clicked Customer_MenuButton_XPATH field
05-26-2021 23:20:47 [main] INFO  com.learningselenium.testbase.TestBase - Added record : Prahakta is present in Customers Table
05-26-2021 23:20:47 [main] INFO  com.learningselenium.testbase.TestBase - Account field for the record : Prahakta is NOT present in Customers Table
05-26-2021 23:20:47 [main] INFO  com.learningselenium.testhelpers.CustomListeners - TestCase : test001_AddCustomerTest Passed.
05-26-2021 23:20:48 [main] INFO  com.learningselenium.testbase.TestBase - Closed all driver browser instances.
05-26-2021 23:20:49 [main] INFO  com.learningselenium.testbase.TestBase - WebDriver setup successfully completed.
05-26-2021 23:20:54 [main] INFO  com.learningselenium.testbase.TestBase - Navigated to http://www.way2automation.com/angularjs-protractor/banking/#/login url.
05-26-2021 23:20:54 [main] INFO  com.learningselenium.testbase.TestBase - Clicked BankManagerLogin_Button_XPATH field
05-26-2021 23:20:55 [main] INFO  com.learningselenium.testbase.TestBase - Clicked AddCustomer_MenuButton_XPATH field
05-26-2021 23:20:55 [main] INFO  com.learningselenium.testbase.TestBase - Entered Vinod in AddCustomer_FirstName_TextField_XPATH field
05-26-2021 23:20:55 [main] INFO  com.learningselenium.testbase.TestBase - Entered Mallah in AddCustomer_LastName_TextField_XPATH field
05-26-2021 23:20:55 [main] INFO  com.learningselenium.testbase.TestBase - Entered 400078 in AddCustomer_PostCode_TextField_XPATH field
05-26-2021 23:20:55 [main] INFO  com.learningselenium.testbase.TestBase - Clicked AddCustomer_Button_XPATH field
05-26-2021 23:20:56 [main] INFO  com.learningselenium.testbase.TestBase - Clicked OpenAccount_MenuButton_XPATH field
05-26-2021 23:20:56 [main] INFO  com.learningselenium.testbase.TestBase - Selected Vinod Mallah in OpenAccount_Customer_Select_XPATH Select field
05-26-2021 23:20:56 [main] INFO  com.learningselenium.testbase.TestBase - Selected Pound in OpenAccount_Currency_Select_XPATH Select field
05-26-2021 23:20:56 [main] INFO  com.learningselenium.testbase.TestBase - Clicked OpenAccount_Process_Button_XPATH field
05-26-2021 23:20:56 [main] INFO  com.learningselenium.testbase.TestBase - Clicked Customer_MenuButton_XPATH field
05-26-2021 23:20:56 [main] INFO  com.learningselenium.testbase.TestBase - Added record : Vinod is present in Customers Table
05-26-2021 23:20:56 [main] INFO  com.learningselenium.testbase.TestBase - Account field for the record : Vinod is present in Customers Table
05-26-2021 23:20:56 [main] INFO  com.learningselenium.testhelpers.CustomListeners - TestCase : test002_OpenAccountTest Passed.
05-26-2021 23:20:57 [main] INFO  com.learningselenium.testbase.TestBase - Closed all driver browser instances.
05-26-2021 23:20:58 [main] INFO  com.learningselenium.testbase.TestBase - WebDriver setup successfully completed.
05-26-2021 23:20:59 [main] INFO  com.learningselenium.testbase.TestBase - Navigated to http://www.way2automation.com/angularjs-protractor/banking/#/login url.
